20260703T,745.0,745.0,745.0,745.0,0
20260706T,750.0,750.0,750.0,750.0,0
20260707T,745.0,745.0,745.0,745.0,0
20260708T,745.0,745.0,745.0,745.0,0
20260709T,750.0,750.0,750.0,750.0,0
20260710T,755.0,755.0,755.0,755.0,0
20260713T,750.0,750.0,750.0,750.0,0
20260714T,750.0,750.0,750.0,750.0,0
20260715T,750.0,750.0,750.0,750.0,0
20260716T,750.0,750.0,750.0,750.0,0
20260717T,742.0,742.0,742.0,742.0,0
20260720T,742.0,742.0,742.0,742.0,0
20260721T,748.0,748.0,748.0,748.0,0
20260722T,750.0,750.0,750.0,750.0,0
20260723T,740.0,740.0,740.0,740.0,0
20260724T,740.0,740.0,740.0,740.0,0
20260727T,740.0,740.0,740.0,740.0,0
20260728T,740.0,740.0,740.0,740.0,0
20260729T,730.0,730.0,730.0,730.0,0
20260730T,740.0,740.0,740.0,740.0,0
20260731T,745.0,745.0,745.0,745.0,0
20260803T,750.0,750.0,750.0,750.0,0
20260804T,750.0,750.0,750.0,750.0,0
